@RELATION wifitrainingset

@ATTRIBUTE "n" REAL
@ATTRIBUTE "109.0" REAL
@ATTRIBUTE "ait-l15" REAL
@ATTRIBUTE "aut-sams-1" REAL
@ATTRIBUTE "bolyai_e4_floor3" REAL
@ATTRIBUTE "bosch_telemetry" REAL
@ATTRIBUTE "dd" REAL
@ATTRIBUTE "doa2" REAL
@ATTRIBUTE "doa200" REAL
@ATTRIBUTE "doa203" REAL
@ATTRIBUTE "doa207" REAL
@ATTRIBUTE "doa208" REAL
@ATTRIBUTE "doa6" REAL
@ATTRIBUTE "eet_3" REAL
@ATTRIBUTE "frm" REAL
@ATTRIBUTE "geiakfsz" REAL
@ATTRIBUTE "iitap1" REAL
@ATTRIBUTE "iitap1-guest" REAL
@ATTRIBUTE "iitap2" REAL
@ATTRIBUTE "iitap2-guest" REAL
@ATTRIBUTE "iitap3" REAL
@ATTRIBUTE "iitap3-guest" REAL
@ATTRIBUTE "info" REAL
@ATTRIBUTE "info2" REAL
@ATTRIBUTE "kema10" REAL
@ATTRIBUTE "kema4" REAL
@ATTRIBUTE "krz" REAL
@ATTRIBUTE "library114" REAL
@ATTRIBUTE "tp-link_b2765a" REAL
@ATTRIBUTE "upcwi-free" REAL
@ATTRIBUTE "upc8902044" REAL
@ATTRIBUTE "wireless" REAL
@ATTRIBUTE "zoneid" {"07a25de0-a013-486d-9463-404a348e05ee","14fc835a-ee28-4b78-9c59-9ee0f759ce56","1501dc2f-55e3-44bd-8f15-8c26a8c7410d","43f5e995-b6f9-4e6f-b40a-9f6bca793ecd","544bbbff-2c9c-4d7f-aad5-1742e2f26935","59376e57-9d03-4b9d-af9b-36d6f617a935","5e27bae6-076f-4e5d-acb0-11a2cc2b9e0d","5eed44d0-c401-46a0-935c-b3161177a00f","79d7a2dc-831e-4d07-98d7-327dbbad3884","7b8681b3-9d64-4b7e-918d-074bd146d9e6","8933b3c7-54ac-4fc3-a2e5-8c7fdc7bfae3","8e4181f2-8e1c-467d-8cc2-4580bf5cb76c","93f32509-0f74-4f2c-a45a-90858ca646d8","a377b162-49fb-4140-bfe1-2565a2260764","aa7b48e2-ab67-4888-b5c9-1edc21c13d63","b33055ec-4fda-4cf1-ae44-b3fd54f94467","bef00f27-9e13-4416-a380-c04010c377cb","e2d1a25f-5496-49c6-85b7-ccb3601a9971","e48c8f34-716c-477f-a448-9c209d635fbf","f44d88f6-8067-4934-ac94-c38bfdc8bb7f","fff52967-5b13-4935-afa0-44c375cb84db"}

@DATA
-100.00,-70.00,"-100.0",-80.00,"-100.0","-100.0",-83.00,"-100.0","-100.0",-82.00,-74.00,-53.00,-83.00,"-100.0","-100.0",-63.00,-55.00,-57.00,-78.00,-79.00,-74.00,-73.00,"-100.0","-100.0","-100.0","-100.0",-65.00,"-100.0","-100.0","-100.0","-100.0","-100.0","07a25de0-a013-486d-9463-404a348e05ee"
"-100.0",-69.00,"-100.0",-82.00,"-100.0","-100.0",-75.00,"-100.0","-100.0","-100.0",-82.00,-68.00,"-100.0","-100.0","-100.0",-65.00,-75.00,-81.00,-79.00,-80.00,-73.00,-73.00,"-100.0","-100.0","-100.0","-100.0",-72.00,"-100.0",-85.00,"-100.0","-100.0","-100.0","07a25de0-a013-486d-9463-404a348e05ee"
"-100.0",-65.00,"-100.0",-79.00,"-100.0","-100.0",-81.00,"-100.0",-85.00,"-100.0","-100.0",-75.00,"-100.0","-100.0","-100.0",-79.00,-74.00,-82.00,-82.00,-81.00,-86.00,-86.00,"-100.0","-100.0","-100.0","-100.0",-85.00,-86.00,-72.00,"-100.0","-100.0","-100.0","07a25de0-a013-486d-9463-404a348e05ee"
"-100.0",-75.00,"-100.0",-66.00,"-100.0","-100.0",-83.00,-78.00,-75.00,"-100.0","-100.0",-75.00,"-100.0","-100.0","-100.0",-84.00,"-100.0","-100.0",-66.00,-64.00,-85.00,-85.00,"-100.0","-100.0","-100.0","-100.0",-89.00,"-100.0",-85.00,"-100.0","-100.0","-100.0","07a25de0-a013-486d-9463-404a348e05ee"
"-100.0",-76.00,"-100.0",-83.00,"-100.0","-100.0",-86.00,"-100.0",-82.00,"-100.0","-100.0",-82.00,"-100.0","-100.0","-100.0","-100.0",-84.00,-81.00,-80.00,-82.00,-86.00,-87.00,"-100.0","-100.0","-100.0","-100.0",-81.00,"-100.0",-89.00,"-100.0","-100.0","-100.0","07a25de0-a013-486d-9463-404a348e05ee"
"-100.0",-66.00,"-100.0",-80.00,"-100.0","-100.0",-75.00,-87.00,-86.00,"-100.0","-100.0",-70.00,"-100.0","-100.0","-100.0",-82.00,"-100.0",-82.00,-72.00,-72.00,-80.00,-76.00,"-100.0","-100.0","-100.0","-100.0",-82.00,"-100.0",-73.00,"-100.0","-100.0","-100.0","07a25de0-a013-486d-9463-404a348e05ee"
"-100.0",-75.00,"-100.0",-72.00,"-100.0","-100.0","-100.0",-89.00,-82.00,"-100.0","-100.0","-100.0","-100.0","-100.0","-100.0","-100.0","-100.0","-100.0",-73.00,-73.00,"-100.0","-100.0","-100.0","-100.0","-100.0","-100.0","-100.0","-100.0","-100.0","-100.0","-100.0","-100.0","07a25de0-a013-486d-9463-404a348e05ee"
"-100.0",-79.00,"-100.0","-100.0","-100.0","-100.0",-93.00,"-100.0","-100.0","-100.0",-81.00,-75.00,"-100.0","-100.0","-100.0",-74.00,-60.00,-60.00,-80.00,"-100.0",-82.00,-83.00,"-100.0","-100.0","-100.0","-100.0",-65.00,"-100.0","-100.0","-100.0","-100.0","-100.0","07a25de0-a013-486d-9463-404a348e05ee"
"-100.0",-64.00,"-100.0",-88.00,"-100.0","-100.0",-80.00,"-100.0","-100.0","-100.0","-100.0",-77.00,"-100.0","-100.0","-100.0",-83.00,-85.00,-85.00,-78.00,-80.00,-87.00,-89.00,"-100.0","-100.0","-100.0","-100.0",-88.00,"-100.0",-86.00,"-100.0","-100.0","-100.0","07a25de0-a013-486d-9463-404a348e05ee"
"-100.0",-57.00,"-100.0","-100.0","-100.0","-100.0",-81.00,"-100.0","-100.0","-100.0",-80.00,-55.00,"-100.0","-100.0","-100.0",-59.00,-73.00,-76.00,-78.00,-79.00,-70.00,-69.00,"-100.0","-100.0","-100.0","-100.0",-74.00,"-100.0","-100.0","-100.0","-100.0","-100.0","07a25de0-a013-486d-9463-404a348e05ee"
"-100.0",-76.00,"-100.0",-76.00,"-100.0","-100.0",-84.00,-75.00,-68.00,"-100.0","-100.0",-75.00,"-100.0","-100.0","-100.0",-81.00,"-100.0",-90.00,-76.00,-66.00,-79.00,-79.00,"-100.0","-100.0","-100.0","-100.0","-100.0",-72.00,-89.00,"-100.0","-100.0","-100.0","07a25de0-a013-486d-9463-404a348e05ee"
